gravity,wind_power,turbulence_power,reward
-11.999,5.0,0.6,16.373801098672175
-11.999,5.0,0.8,-14.01834995126255
-11.999,5.0,1.0,33.34584259570477
-11.999,7.5,0.6,22.515077892631226
-11.999,7.5,0.8,19.88572284087344
-11.999,7.5,1.0,25.874450948172466
-11.999,10.0,0.6,-19.73648884322276
-11.999,10.0,0.8,-9.087595683064976
-11.999,10.0,1.0,8.294046762890304
-9.499500000000001,5.0,0.6,280.85421610615515
-9.499500000000001,5.0,0.8,12.07814362555095
-9.499500000000001,5.0,1.0,25.283360996576945
-9.499500000000001,7.5,0.6,236.165681558123
-9.499500000000001,7.5,0.8,266.0077118218927
-9.499500000000001,7.5,1.0,-9.805344055625696
-9.499500000000001,10.0,0.6,65.71049597356179
-9.499500000000001,10.0,0.8,286.98537455986843
-9.499500000000001,10.0,1.0,293.37682019931106
-7.0,5.0,0.6,210.04302428616978
-7.0,5.0,0.8,-2.5547917910427884
-7.0,5.0,1.0,46.40988504262006
-7.0,7.5,0.6,-35.621267118530696
-7.0,7.5,0.8,17.072317542095377
-7.0,7.5,1.0,230.08313392816189
-7.0,10.0,0.6,162.5776608333034
-7.0,10.0,0.8,-127.07475865708443
-7.0,10.0,1.0,247.77161353535462
