gravity,wind_power,turbulence_power,reward
-8.999275,10.0,0.75,294.0473535447527
-8.999275,10.0,1.0,309.3313644042676
-5.99955,0.0,0.0,283.6917334529623
-5.99955,0.0,0.25,296.04226715706193
-5.99955,0.0,0.5,290.19165132915987
-5.99955,0.0,0.75,293.5610187640475
-5.99955,0.0,1.0,290.17526450873254
-5.99955,2.5,0.0,284.8907719331934
-5.99955,2.5,0.25,292.4339203587639
-5.99955,2.5,0.5,298.1340129718218
-5.99955,2.5,0.75,302.4462049735844
-5.99955,2.5,1.0,295.41345395386895
-5.99955,5.0,0.0,287.2192032301402
-5.99955,5.0,0.25,288.22281412388054
-5.99955,5.0,0.5,299.2414847042835
-5.99955,5.0,0.75,302.99456267765277
-5.99955,5.0,1.0,305.1607095865089
-5.99955,7.5,0.0,284.8095663830742
-5.99955,7.5,0.25,311.4586603976803
-5.99955,7.5,0.5,310.69995891819246
-5.99955,7.5,0.75,311.015198657686
-5.99955,7.5,1.0,281.05234231432854
-5.99955,10.0,0.0,288.0628404614917
-5.99955,10.0,0.25,283.5076548602792
-5.99955,10.0,0.5,289.65358276214135
-5.99955,10.0,0.75,310.20888735112885
-5.99955,10.0,1.0,304.0525162829547
-2.9998249999999995,0.0,0.0,291.1567183083002
-2.9998249999999995,0.0,0.25,298.8869929148734
-2.9998249999999995,0.0,0.5,318.3864466533662
-2.9998249999999995,0.0,0.75,284.9320423254102
-2.9998249999999995,0.0,1.0,284.9338085769268
-2.9998249999999995,2.5,0.0,303.19820477874407
-2.9998249999999995,2.5,0.25,298.819858711337
-2.9998249999999995,2.5,0.5,275.2606378581607
-2.9998249999999995,2.5,0.75,291.28878035770333
-2.9998249999999995,2.5,1.0,296.4958325993045
-2.9998249999999995,5.0,0.0,312.22436715453705
-2.9998249999999995,5.0,0.25,311.6115439233875
-2.9998249999999995,5.0,0.5,315.7366362082512
-2.9998249999999995,5.0,0.75,306.5263510864902
-2.9998249999999995,5.0,1.0,301.15605571443785
-2.9998249999999995,7.5,0.0,308.7877784901955
-2.9998249999999995,7.5,0.25,307.92835505064704
-2.9998249999999995,7.5,0.5,293.33131337747636
-2.9998249999999995,7.5,0.75,298.0359666053388
-2.9998249999999995,7.5,1.0,279.39516884240084
-2.9998249999999995,10.0,0.0,324.4919919244246
-2.9998249999999995,10.0,0.25,290.81683311486165
