gravity,wind_power,turbulence_power,reward
-11.999,5.0,0.6,280.29834676952726
-11.999,5.0,0.8,293.73566356799415
-11.999,5.0,1.0,287.7785573589762
-11.999,7.5,0.6,302.4614503981851
-11.999,7.5,0.8,299.0093043466944
-11.999,7.5,1.0,37.47617182942514
-11.999,10.0,0.6,305.52449527578307
-11.999,10.0,0.8,306.08480406465895
-11.999,10.0,1.0,22.239061809076205
-9.499500000000001,5.0,0.6,293.37952054558764
-9.499500000000001,5.0,0.8,8.059787274200346
-9.499500000000001,5.0,1.0,291.53196277959205
-9.499500000000001,7.5,0.6,294.8935217592465
-9.499500000000001,7.5,0.8,279.07735850376594
-9.499500000000001,7.5,1.0,274.81831880263
-9.499500000000001,10.0,0.6,279.02699599325763
-9.499500000000001,10.0,0.8,3.836198344619575
-9.499500000000001,10.0,1.0,5.767832538225861
-7.0,5.0,0.6,63.315258436003376
-7.0,5.0,0.8,283.73961225336416
-7.0,5.0,1.0,288.3523461126804
-7.0,7.5,0.6,289.22256998676966
-7.0,7.5,0.8,290.6043071382943
-7.0,7.5,1.0,290.85749243297016
-7.0,10.0,0.6,289.7875699647652
-7.0,10.0,0.8,280.1336362570015
-7.0,10.0,1.0,298.8563576871303
