gravity,wind_power,turbulence_power,reward
-11.999,0.0,0.0,270.5761305064012
-11.999,0.0,0.25,279.4359180967816
-11.999,0.0,0.5,269.3094242633926
-11.999,0.0,0.75,278.55592344564866
-11.999,0.0,1.0,269.23716125385977
-11.999,2.5,0.0,270.6086616707518
-11.999,2.5,0.25,279.8492344344254
-11.999,2.5,0.5,278.8372611717285
-11.999,2.5,0.75,268.24149842646204
-11.999,2.5,1.0,271.92375716040317
-11.999,5.0,0.0,288.7448211495237
-11.999,5.0,0.25,279.0118824512639
-11.999,5.0,0.5,277.83345760990073
-11.999,5.0,0.75,288.4098110869962
-11.999,5.0,1.0,287.5620630528158
-11.999,7.5,0.0,288.72383494023086
-11.999,7.5,0.25,290.68018354577316
-11.999,7.5,0.5,293.5519912577503
-11.999,7.5,0.75,289.07090478923794
-11.999,7.5,1.0,288.4897354372339
-11.999,10.0,0.0,296.4409786842417
-11.999,10.0,0.25,298.958423319234
-11.999,10.0,0.5,300.020304508546
-11.999,10.0,0.75,292.83274805485445
-11.999,10.0,1.0,296.7360887861672
-8.999275,0.0,0.0,294.8153713040875
-8.999275,0.0,0.25,297.04121486660085
-8.999275,0.0,0.5,287.3732918893458
-8.999275,0.0,0.75,299.63098969537145
-8.999275,0.0,1.0,299.59823178941974
-8.999275,2.5,0.0,289.99689327820954
-8.999275,2.5,0.25,278.3824594813257
-8.999275,2.5,0.5,294.13015149549915
-8.999275,2.5,0.75,272.58720808476085
-8.999275,2.5,1.0,272.71626658188325
-8.999275,5.0,0.0,301.09342920369477
-8.999275,5.0,0.25,285.9822176796164
-8.999275,5.0,0.5,287.9227335481628
-8.999275,5.0,0.75,267.21675297177205
-8.999275,5.0,1.0,290.6454014860383
-8.999275,7.5,0.0,293.4021057988196
-8.999275,7.5,0.25,302.05849558962706
-8.999275,7.5,0.5,290.9772625390116
-8.999275,7.5,0.75,298.8519032550721
-8.999275,7.5,1.0,304.60550536886916
-8.999275,10.0,0.0,288.08357532676314
-8.999275,10.0,0.25,301.2625174193527
-8.999275,10.0,0.5,277.8421675991612
-8.999275,10.0,0.75,305.56355212888076
-8.999275,10.0,1.0,295.2188441357496
-5.99955,0.0,0.0,293.5009211154557
-5.99955,0.0,0.25,287.5917321864923
-5.99955,0.0,0.5,297.9237790090132
-5.99955,0.0,0.75,303.50221783186186
-5.99955,0.0,1.0,304.4154495205272
-5.99955,2.5,0.0,284.0155408956791
-5.99955,2.5,0.25,303.9225170461432
-5.99955,2.5,0.5,300.54171438498463
-5.99955,2.5,0.75,302.3302613567539
-5.99955,2.5,1.0,281.72762999586234
-5.99955,5.0,0.0,309.17999958709515
-5.99955,5.0,0.25,301.00352501927796
-5.99955,5.0,0.5,286.4652090384641
-5.99955,5.0,0.75,266.9640974804296
-5.99955,5.0,1.0,308.66817925919725
-5.99955,7.5,0.0,296.2314629413171
-5.99955,7.5,0.25,290.98641464225943
-5.99955,7.5,0.5,292.1214351943154
-5.99955,7.5,0.75,319.3268691408432
-5.99955,7.5,1.0,278.6765433039377
-5.99955,10.0,0.0,313.4152593044689
-5.99955,10.0,0.25,295.3553415701642
-5.99955,10.0,0.5,301.93691071691705
-5.99955,10.0,0.75,305.63242758185123
-5.99955,10.0,1.0,295.24825723556535
-2.9998249999999995,0.0,0.0,292.6805468199638
-2.9998249999999995,0.0,0.25,292.9851410249411
-2.9998249999999995,0.0,0.5,284.2608224992115
-2.9998249999999995,0.0,0.75,282.7357870281935
-2.9998249999999995,0.0,1.0,287.8897933711827
-2.9998249999999995,2.5,0.0,312.49062790622355
-2.9998249999999995,2.5,0.25,302.3725869776234
-2.9998249999999995,2.5,0.5,304.438219271927
-2.9998249999999995,2.5,0.75,294.15927848720605
-2.9998249999999995,2.5,1.0,288.8197236814992
-2.9998249999999995,5.0,0.0,308.39587634057744
-2.9998249999999995,5.0,0.25,282.84805925588046
-2.9998249999999995,5.0,0.5,302.7599126781296
-2.9998249999999995,5.0,0.75,272.39342804847627
-2.9998249999999995,5.0,1.0,294.2832496256691
-2.9998249999999995,7.5,0.0,303.5287269085235
-2.9998249999999995,7.5,0.25,306.89395060598116
-2.9998249999999995,7.5,0.5,311.0166805691289
-2.9998249999999995,7.5,0.75,298.18721246415197
-2.9998249999999995,7.5,1.0,312.51527496648737
-2.9998249999999995,10.0,0.0,307.23221029899076
-2.9998249999999995,10.0,0.25,282.850173707318
-2.9998249999999995,10.0,0.5,306.4331144148674
-2.9998249999999995,10.0,0.75,310.3837923912878
-2.9998249999999995,10.0,1.0,305.4321410310097
-0.0001,0.0,0.0,-110.30138579100176
-0.0001,0.0,0.25,-100.12319929438621
-0.0001,0.0,0.5,-130.32661263797942
-0.0001,0.0,0.75,-136.84906006032222
-0.0001,0.0,1.0,-152.40490895352778
-0.0001,2.5,0.0,-169.62257201013222
-0.0001,2.5,0.25,-130.80556822397523
-0.0001,2.5,0.5,-141.83925771838815
-0.0001,2.5,0.75,-84.97415368334521
-0.0001,2.5,1.0,-183.1704979468352
-0.0001,5.0,0.0,-160.31649346593127
-0.0001,5.0,0.25,-75.7806537676529
-0.0001,5.0,0.5,-207.03799200155575
-0.0001,5.0,0.75,-281.0724980129918
-0.0001,5.0,1.0,-120.29082160958097
-0.0001,7.5,0.0,-142.3839805070299
-0.0001,7.5,0.25,-131.4014643237236
-0.0001,7.5,0.5,-82.34284775506498
-0.0001,7.5,0.75,-2216.1475190402393
-0.0001,7.5,1.0,-484.125429819874
-0.0001,10.0,0.0,-183.92860441661992
-0.0001,10.0,0.25,-244.20096245119095
-0.0001,10.0,0.5,-521.3293231515952
-0.0001,10.0,0.75,-209.87352464494865
-0.0001,10.0,1.0,-123.29877900978963
